license,count,sum
Permissive / BY ,27253,186744360
RAIL,1890,4081129
Copyleft / SA,892,2435922
NC use only ,720,2416159
other,646,614311
unknown,292,7226
No restrictions / PD,280,10089
Non categorizable,208,2335
Other use restrictions ,19,444
