license,count,sum
apache-2.0,13448,102283911
mit,4457,77790539
afl-3.0,1258,1196760
cc-by-4.0,961,4324696
cc-by-sa-4.0,372,2079321
other,287,878887
cc-by-nc-sa-4.0,265,1227840
cc-by-nc-4.0,198,141004
gpl-3.0,163,139744
artistic-2.0,139,17
bsd-3-clause,102,105783
cc0-1.0,98,33457
cc,97,4596
bigscience-bloom-rail-1.0,75,178226
unknown,60,2113
gpl,50,1882
wtfpl,45,161
agpl-3.0,43,2251
bsl-1.0,37,0
openrail,30,11
unlicense,29,3132
cc-by-sa-3.0,21,27747
bsd-2-clause,18,0
gpl-2.0,17,23
creativeml-openrail-m,14,745244
cc-by-nc-3.0,13,301
cc-by-nc-sa-3.0,12,4531
lgpl-3.0,12,762
bsd,10,68
bsd-3-clause-clear,8,0
lgpl-lr,8,129
cc-by-3.0,8,0
cc-by-2.0,7,21409
osl-3.0,6,8
mpl-2.0,5,19
pddl,4,0
lgpl,4,0
isc,4,67
gfdl,4,0
ecl-2.0,4,9
cc-by-nc-nd-4.0,3,694
ms-pl,3,4
bigscience-openrail-m,3,0
c-uda,3,0
zlib,3,0
cc-by-nd-4.0,2,0
odc-by,2,132
odbl,2,0
ncsa,1,0
postgresql,1,0
lgpl-2.1,1,0
eupl-1.1,1,8
cc-by-nc-sa-2.0,1,0
cc-by-2.5,1,0
