license,repos,downloads,% of repos,% of downloads
Permissive / BY ,35190,281184931,77.85,90.39
RAIL,5421,12141040,11.99,3.9
Copyleft / SA,1228,6971357,2.72,2.24
other,1098,1308660,2.43,0.42
NC use only ,990,9452506,2.19,3.04
unknown,574,8341,1.27,0.0
No restrictions / PD,373,21953,0.83,0.01
Non categorizable,286,1026,0.63,0.0
Other use restrictions ,43,643,0.1,0.0
