license,count,sum
Permissive / BY ,22747,192711758
Copyleft / SA,771,2068464
RAIL,653,1943647
NC use only ,590,2095481
other,373,672923
No restrictions / PD,209,80833
unknown,144,8282
Non categorizable,123,132630
Other use restrictions ,12,385
