license,count,sum
Permissive / BY ,20469,185723391
Copyleft / SA,710,2251898
NC use only ,489,1373676
other,287,878887
No restrictions / PD,176,36750
RAIL,122,923481
Non categorizable,99,4596
unknown,60,2113
Other use restrictions ,8,694
