license,count,sum
Permissive / BY ,31357,188661736
RAIL,3837,8364779
Copyleft / SA,1059,4640472
NC use only ,893,8082993
other,888,1265503
unknown,450,7817
No restrictions / PD,331,16572
Non categorizable,265,867
Other use restrictions ,35,501
