license,count,sum
apache-2.0,17271,109641733
mit,6831,74538573
afl-3.0,1365,7248
cc-by-4.0,1249,2469308
openrail,895,5957
creativeml-openrail-m,755,3670799
other,646,614311
cc-by-sa-4.0,453,1749215
cc-by-nc-sa-4.0,379,2219149
cc-by-nc-4.0,305,195652
unknown,292,7226
artistic-2.0,236,57
gpl-3.0,211,672138
cc,204,2335
bigscience-bloom-rail-1.0,158,128167
bsd-3-clause,138,75248
cc0-1.0,138,8303
wtfpl,79,764
bigscience-openrail-m,63,73
agpl-3.0,58,8470
gpl,56,3047
unlicense,56,1016
bsl-1.0,45,0
cc-by-sa-3.0,26,1579
cc-by-3.0,25,131
bsd-2-clause,23,0
lgpl-3.0,22,739
gpl-2.0,21,14
bsd,20,11
cc-by-nc-3.0,19,563
openrail++,19,276133
cc-by-nc-sa-3.0,13,795
cc-by-2.0,13,11965
lgpl-lr,11,84
osl-3.0,9,16
ecl-2.0,9,4
isc,8,25
bsd-3-clause-clear,8,0
pddl,7,6
cc-by-nc-nd-4.0,7,442
lgpl,7,608
gfdl,6,0
c-uda,6,0
cc-by-nd-4.0,5,2
mpl-2.0,5,1
odbl,4,0
odc-by,4,57
zlib,4,0
ms-pl,3,0
cc-by-nc-sa-2.0,3,0
ncsa,2,0
lgpl-2.1,1,0
eupl-1.1,1,11
epl-1.0,1,0
postgresql,1,0
cc-by-nc-nd-3.0,1,0
cc-by-nc-2.0,1,0
cc-by-2.5,1,0
epl-2.0,1,0
