license,count,sum
apache-2.0,14622,90303299
mit,5375,98047645
afl-3.0,1299,736837
cc-by-4.0,1022,3523717
cc-by-sa-4.0,397,1931003
other,373,672923
openrail,362,8830
cc-by-nc-sa-4.0,310,1956262
cc-by-nc-4.0,252,136382
gpl-3.0,175,130487
artistic-2.0,173,12
unknown,144,8282
creativeml-openrail-m,143,1278885
bigscience-bloom-rail-1.0,126,655932
bsd-3-clause,121,91720
cc,120,132630
cc0-1.0,106,76227
wtfpl,57,328
gpl,54,1307
agpl-3.0,48,1137
unlicense,41,4278
bsl-1.0,39,0
cc-by-sa-3.0,23,3401
bsd-2-clause,23,0
bigscience-openrail-m,22,0
gpl-2.0,18,35
cc-by-3.0,16,0
lgpl-3.0,16,851
cc-by-nc-3.0,15,159
bsd,13,12
cc-by-nc-sa-3.0,12,2678
cc-by-2.0,10,7822
bsd-3-clause-clear,8,0
isc,8,364
lgpl-lr,8,125
ecl-2.0,8,29
osl-3.0,8,1
lgpl,7,110
gfdl,6,0
c-uda,6,0
pddl,5,0
mpl-2.0,5,1
cc-by-nc-nd-4.0,4,385
zlib,4,0
odbl,3,0
ms-pl,3,0
odc-by,2,301
cc-by-nd-4.0,2,0
ncsa,2,0
eupl-1.1,1,6
epl-2.0,1,0
postgresql,1,0
cc-by-nc-sa-2.0,1,0
lgpl-2.1,1,0
cc-by-2.5,1,0
