license,count,sum
apache-2.0,5610,102264043
mit,1578,77784224
cc-by-4.0,439,4322414
cc-by-sa-4.0,241,2078914
cc-by-nc-sa-4.0,151,1227559
afl-3.0,109,1196057
cc-by-nc-4.0,107,140780
other,101,878707
gpl-3.0,89,139620
bsd-3-clause,34,105730
bigscience-bloom-rail-1.0,32,178145
cc0-1.0,28,33271
cc,28,4521
gpl,21,1858
agpl-3.0,13,2211
cc-by-sa-3.0,9,27689
lgpl-3.0,9,762
lgpl-lr,6,129
unknown,6,2081
cc-by-nc-sa-3.0,6,4515
unlicense,5,3102
creativeml-openrail-m,4,745244
wtfpl,3,150
cc-by-nc-3.0,3,287
bsd,2,50
cc-by-nc-nd-4.0,2,694
gpl-2.0,2,20
mpl-2.0,1,18
odc-by,1,132
openrail,1,0
osl-3.0,1,8
artistic-2.0,1,17
eupl-1.1,1,8
cc-by-2.0,1,21399
isc,1,67
