license,count,sum
Permissive / BY ,8309,192691167
Copyleft / SA,413,2067901
NC use only ,336,2095052
other,121,672741
RAIL,93,1943491
No restrictions / PD,44,80689
Non categorizable,29,132489
unknown,10,8257
Other use restrictions ,2,385
