license,count,sum
apache-2.0,6612,111859937
mit,2078,73800805
creativeml-openrail-m,655,5131382
cc-by-4.0,455,2450044
cc-by-sa-4.0,290,4100053
cc-by-nc-4.0,217,3392749
cc-by-nc-sa-4.0,198,4686480
other,187,1264394
afl-3.0,120,5445
gpl-3.0,105,519555
openrail,65,19171
bigscience-bloom-rail-1.0,63,152060
bsd-3-clause,45,439419
cc0-1.0,34,14935
cc,33,609
agpl-3.0,26,14431
openrail++,18,3055657
unknown,17,7531
cc-by-sa-3.0,10,1283
lgpl-3.0,10,1414
unlicense,9,1169
gpl,9,106
cc-by-nc-sa-3.0,7,481
lgpl-lr,7,126
wtfpl,6,149
lgpl,5,1170
bsd,4,2416
cc-by-nc-3.0,4,1087
gpl-2.0,3,42
cc-by-nc-nd-4.0,2,477
bigscience-openrail-m,2,287
artistic-2.0,2,298
cc-by-3.0,2,714
isc,2,44
bsd-2-clause,1,49
eupl-1.1,1,5
odc-by,1,69
ecl-2.0,1,3
osl-3.0,1,25
cc-by-2.0,1,17449
