license,count,sum
Permissive / BY ,7776,185694133
Copyleft / SA,393,2251237
NC use only ,267,1373141
other,101,878707
RAIL,37,923389
No restrictions / PD,36,36523
Non categorizable,28,4521
unknown,6,2081
Other use restrictions ,2,694
