license,count,sum
Permissive / BY ,9324,188576692
RAIL,803,8358557
Copyleft / SA,467,4638210
NC use only ,426,8080797
other,187,1264394
No restrictions / PD,49,16253
Non categorizable,33,609
unknown,17,7531
Other use restrictions ,2,477
