license,count,sum
Permissive / BY ,8930,186706824
Copyleft / SA,437,2435041
RAIL,391,4079357
NC use only ,372,2415377
other,158,613976
No restrictions / PD,48,9945
Non categorizable,32,2240
unknown,14,7096
Other use restrictions ,2,425
