license,count,sum
apache-2.0,6364,109618462
mit,1950,74528106
cc-by-4.0,452,2466167
creativeml-openrail-m,275,3669455
cc-by-sa-4.0,272,1748594
cc-by-nc-sa-4.0,186,2218670
cc-by-nc-4.0,175,195390
other,158,613976
afl-3.0,115,6689
gpl-3.0,92,671982
bigscience-bloom-rail-1.0,63,128035
openrail,39,5682
bsd-3-clause,38,75170
cc0-1.0,33,8204
cc,32,2240
gpl,21,3044
agpl-3.0,19,8405
unknown,14,7096
openrail++,13,276130
lgpl-3.0,10,721
cc-by-sa-3.0,10,1567
unlicense,9,992
cc-by-nc-sa-3.0,7,787
lgpl-lr,7,84
wtfpl,6,749
cc-by-nc-3.0,4,530
artistic-2.0,2,52
bsd,2,7
cc-by-nc-nd-4.0,2,425
lgpl,2,608
gpl-2.0,2,11
cc-by-3.0,2,124
isc,2,25
odc-by,1,57
bigscience-openrail-m,1,55
eupl-1.1,1,11
osl-3.0,1,14
ecl-2.0,1,0
cc-by-2.0,1,11965
